'jian'yi'zhen	建一镇	011124.1.911224	51111254.1.311151225111134
'jian'nan'zhen	建南镇	011124.122542.911224	51111254.122543112.311151225111134
'jian'qiao'xiang	建桥乡	011124.129632.56	51111254.1234313432.553
'jian'qiao'zhen	建桥镇	011124.129632.911224	51111254.1234313432.311151225111134
'jian'ou'shi	建瓯市	011124.134579.4125	51111254.13451554.41252
'jian'ping'xian	建平县	011124.14312.2754	51111254.14312.2511154
'jian'ping'xiang	建平乡	011124.14312.56	51111254.14312.553
'jian'ping'zhen	建平镇	011124.14312.911224	51111254.14312.311151225111134
'jian'cheng'zhen	建城镇	011124.191354.911224	51111254.121135534.311151225111134
'jian'tang'zhen	建塘镇	011124.194700.911224	51111254.1214135112251.311151225111134
'jian'shan'xiang	建山乡	011124.20.56	51111254.252.553
'jian'shan'zhen	建山镇	011124.20.911224	51111254.252.311151225111134
'jian'feng'xiang	建峰乡	011124.209071.56	51111254.2523541112.553
'jian'ye'xiang	建业乡	011124.22.56	51111254.22431.553
'jian'ye'qu	建邺区	011124.2252.1345	51111254.2243152.1345
'jian'tang'xiang	建堂乡	011124.248019.56	51111254.24345251121.553
'jian'guo'xiang	建国乡	011124.251141.56	51111254.25112141.553
'jian'guo'zhen	建国镇	011124.251141.911224	51111254.25112141.311151225111134
'jian'shui'xian	建水县	011124.2534.2754	51111254.2534.2511154
'jian'rao'zhen	建饶镇	011124.301535.911224	51111254.355153135.311151225111134
'jian'hua'qu	建华区	011124.323512.1345	51111254.323512.1345
'jian'hua'xiang	建华乡	011124.323512.56	51111254.323512.553
'jian'hua'zhen	建华镇	011124.323512.911224	51111254.323512.311151225111134
'jian'de'shi	建德市	011124.331285.4125	51111254.332122522114544.41252
'jian'quan'xiang	建全乡	011124.3411.56	51111254.341121.553
'jian'ying'xiang	建颍乡	011124.352538.56	51111254.352534132534.553
'jian'sheng'zhen	建胜镇	011124.36371.911224	51111254.351131121.311151225111134
'jian'she'xiang	建设乡	011124.403554.56	51111254.453554.553
'jian'she'zhen	建设镇	011124.403554.911224	51111254.453554.311151225111134
'jian'hu'xian	建湖县	011124.441286.2754	51111254.441122513511.2511154
'jian'huai'xiang	建淮乡	011124.443241.56	51111254.44132411121.553
'jian'ning'xian	建宁县	011124.4612.2754	51111254.44512.2511154
'jian'ning'xiang	建宁乡	011124.4612.56	51111254.44512.553
'jian'an'qu	建安区	011124.4659.1345	51111254.445531.1345
'jian'an'xiang	建安乡	011124.4659.56	51111254.445531.553
'jian'an'zhen	建安镇	011124.4659.911224	51111254.445531.311151225111134
'jian'min'xiang	建民乡	011124.51515.56	51111254.51515.553
'jian'min'zhen	建民镇	011124.51515.911224	51111254.51515.311151225111134
'jian'ling'zhen	建陵镇	011124.521930.911224	51111254.5212134354.311151225111134
'jian'yang'qu	建阳区	011124.5281.1345	51111254.522511.1345
'jian'yang'zhen	建阳镇	011124.5281.911224	51111254.522511.311151225111134
'jian'shi'xian	建始县	011124.595480.2754	51111254.53154251.2511154
'jian'xin'xiang	建新乡	011124.611232.56	51111254.4143112343312.553
'jian'xin'zhen	建新镇	011124.611232.911224	51111254.4143112343312.311151225111134
'jian'xing'xiang	建兴乡	011124.64134.56	51111254.443134.553
'jian'xing'zhen	建兴镇	011124.64134.911224	51111254.443134.311151225111134
'jian'xi'zhen	建西镇	011124.74.911224	51111254.125351.311151225111134
'jian'zhong'xiang	建中乡	011124.802.56	51111254.2512.553
'jian'zhong'zhen	建中镇	011124.802.911224	51111254.2512.311151225111134
'jian'ming'zhen	建明镇	011124.8136.911224	51111254.25113511.311151225111134
'jian'chang'ying'zhen	建昌营镇	011124.8181.174580.911224	51111254.25112511.12245251251.311151225111134
'jian'chang'xian	建昌县	011124.8181.2754	51111254.25112511.2511154
'jian'chang'zhen	建昌镇	011124.8181.911224	51111254.25112511.311151225111134
'jian'li'xiang	建黎乡	011124.923534.56	51111254.312343533424134.553
