'jian'she'bu	建设部	011124.403554.618052	51111254.453554.4143125152
'ti'an'shen'cha'wei'yuan'hui	提案审查委员会	108114.465912.4683.12811.9259.8028.341154	121251112134.4455311234.44525112.123425111.31234531.2512534.341154
'huan'bao'ju	环保局	111324.328012.07580	11211324.322511234.5135251
'tian'jin'jing'bei'qu	天津警备区	1134.440112.173580.9083.1345	1134.441511112.1223525131344111251.35425121.1345
'gong'cheng're'wu'li'xue'hui	工程热物理学会	121.928011.103549.313533.118121.6458.341154	121.312342511121.1213544444.31213533.11212511211.44345521.341154
'gong'cheng'bing	工程兵	121.928011.321214	121.312342511121.3212134
'zheng'zhi'xue'yuan	政治学院	12190.445480.6458.524615	121213134.44154251.44345521.524451135
'nan'jing'jun'qu	南京军区	122542.41234.4577.1345	122543112.41251234.451512.1345
'nan'hai'jian'dui	南海舰队	122542.443106.932535.5234	122543112.4413155414.3354142535.5234
'nan'bu'zhan'qu	南部战区	122542.618052.218014.1345	122543112.4143125152.212511534.1345
'cheng'du'jun'qu	成都军区	135534.193812.4577.1345	135534.1213251152.451512.1345
'dong'hai'jian'dui	东海舰队	15234.443106.932535.5234	15234.4413155414.3354142535.5234
'dong'bu'zhan'qu	东部战区	15234.618052.218014.1345	15234.4143125152.212511534.1345
'lao'dong'he'she'hui'bao'zhang'bu	劳动和社会保障部	174553.115453.9280.6219.341154.328012.526182.618052	1224553.115453.31234251.4524121.341154.322511234.5241431251112.4143125152
'yao'jian'ju	药监局	175534.223144.07580	122551354.2231425221.5135251
'fu'zhu'xi	副主席	180832.411.471825	12512512122.41121.4131221252
'jiao'yu'bu	教育部	193580.415421.618052	12135213134.41542511.4143125152
'jiao'yu'ke'xue'wen'hua'wei'yuan'hui	教育科学文化委员会	193580.415421.924412.6458.66.3235.9259.8028.341154	12135213134.41542511.312344412.44345521.4134.3235.31234531.2512534.341154
'jiao'yu'ke'xue'wen'hua'he'wei'sheng'wei'yuan'hui	教育科学文化和卫生委员会	193580.415421.924412.6458.66.3235.9280.521.371.9259.8028.341154	12135213134.41542511.312344412.44345521.4134.3235.31234251.521.31121.31234531.2512534.341154
'di'zhen'xue'hui	地震学会	19525.161314.6458.341154	121525.145244441311534.44345521.341154
'shang'hai'jing'bei'qu	上海警备区	211.443106.173580.9083.1345	211.4413155414.1223525131344111251.35425121.1345
'bei'jing'guo'ji'jing'ji'xin'xi'zhong'xin	北京国际经济信息中心	21135.41234.251141.521124.555411.446632.3240.38265.802.65	21135.41251234.25112141.5211234.55154121.441413432.324111251.3251114544.2512.4544
'bei'jing'jun'qu	北京军区	21135.41234.4577.1345	21135.41251234.451512.1345
'bei'jing'wei'shu'qu	北京卫戍区	21135.41234.521.134534.1345	21135.41251234.521.134534.1345
'bei'jing'ke'ji'xie'zuo'zhong'xin	北京科技协作中心	21135.41234.924412.101254.125344.323121.802.65	21135.41251234.312344412.1211254.125344.3231211.2512.4544
'bei'hai'jian'dui	北海舰队	21135.443106.932535.5234	21135.4413155414.3354142535.5234
'bei'bu'zhan'qu	北部战区	21135.618052.218014.1345	21135.4143125152.212511534.1345
'jian'cha'bu	监察部	223144.469014.618052	2231425221.44535445411234.4143125152
'shao'nian'ke'xue'jiang'ji'jin'hui	少年科学奖基金会	2343.311212.924412.6458.412904.7019.91.341154	2343.311212.312344412.44345521.412354134.12211134121.34112431.341154
'chang'wu'wei'yuan'hui	常务委员会	248025.9053.9259.8028.341154	24345251252.35453.31234531.2512534.341154
'guo'tu'zi'yuan'bu	国土资源部	251141.19.413538.441334.618052	25112141.121.4135342534.4411332511234.4143125152
'guo'jia'jian'zhu'cai'liao'gong'ye'ju	国家建筑材料工业局	251141.4613.011124.371214.12123.684412.121.22.07580	25112141.4451353334.51111254.314314121354.1234123.4312344412.121.22431.5135251
'guo'jia'chu'ru'jing'jian'yan'jian'yi'ju	国家出入境检验检疫局	251141.4613.02.34.196185.123411.503411.123411.483554.07580	25112141.4451353334.52252.34.12141431251135.12343414431.5513414431.12343414431.413413554.5135251
'guo'jia'huan'jing'bao'hu'zong'ju	国家环境保护总局	251141.4613.111324.196185.328012.10407.438065.07580	25112141.4451353334.11211324.12141431251135.322511234.1214513.432514544.5135251
'guo'jia'gong'shang'xing'zheng'guan'li'ju	国家工商行政管理局	251141.4613.121.613480.33112.12190.374621.118121.07580	25112141.4451353334.121.41432534251.332112.121213134.31431444525151.11212511211.5135251
'guo'jia'lin'ye'ju	国家林业局	251141.4613.1212.22.07580	25112141.4451353334.12341234.22431.5135251
'guo'jia'ji'xie'gong'ye'ju	国家机械工业局	251141.4613.1235.121134.121.22.07580	25112141.4451353334.123435.12341132534.121.22431.5135251
'guo'jia'you'se'jin'shu'gong'ye'ju	国家有色金属工业局	251141.4613.132511.355215.91.073804.121.22.07580	25112141.4451353334.132511.355215.34112431.513325125214.121.22431.5135251
'guo'jia'shi'you'he'hua'xue'gong'ye'ju	国家石油和化学工业局	251141.4613.14.4483.9280.3235.6458.121.22.07580	25112141.4451353334.13251.44125121.31234251.3235.44345521.121.22431.5135251
