'jian'yuan	建元	011124.1135	51111254.1135
'jian'zai	建在	011124.13219	51111254.132121
'jian'ping	建平	011124.14312	51111254.14312
'jian'tuan	建团	011124.251231	51111254.251231
'jian'wang'zhan	建网站	011124.253434.612180	51111254.253434.4143121251
'jian'hang	建行	011124.33112	51111254.332112
'jian'ge	建个	011124.342	51111254.342
'jian'she'ju	建设局	011124.403554.07580	51111254.453554.5135251
'jian'she'lu	建设路	011124.403554.299080	51111254.453554.2512121354251
'jian'yi'qu	建议区	011124.40434.1345	51111254.45434.1345
'jian'yi'ni	建议你	011124.40434.323524	51111254.45434.3235234
'jian'lan	建兰	011124.431	51111254.43111
'jian'le	建了	011124.52	51111254.52
'jian'le'ge	建了个	011124.52.342	51111254.52.342
'jian'hao	建好	011124.5958	51111254.531521
'jian'li'zhe	建立者	011124.61.19381	51111254.41431.12132511
'xun'zhao'wu	寻找舞	01124.101534.311222	511124.1211534.31122221354152
'xun'zhao'zhe	寻找着	01124.101534.4382	511124.1211534.43111325111
'xun'zhao'le	寻找了	01124.101534.52	511124.1211534.52
'xun'kai'xin	寻开心	01124.1132.65	511124.1132.4544
'xun'gen	寻根	01124.1203	511124.1234511534
'xun'shi'wen'dao	寻师问道	01124.23125.4280.431384	511124.231252.425251.431325111454
'xun'chang'guang	寻常光	01124.248025.24135	511124.24345251252.243135
'xun'hui	寻回	01124.25801	511124.252511
'xun'zong	寻踪	01124.294614	511124.251212144511234
'xun'lu	寻路	01124.299080	511124.2512121354251
'xun'shi	寻食	01124.30	511124.344511534
'xun'de	寻得	01124.338114	511124.33225111124
'xun'mi'zhe	寻觅着	01124.392535.4382	511124.34432535.43111325111
'xun'mi'zhong	寻觅中	01124.392535.802	511124.34432535.2512
'xun'dao	寻道	01124.431384	511124.431325111454
'xun'yi	寻绎	01124.555412	511124.55154112
'xun'duan'jian	寻短见	01124.941801.2535	511124.311341251431.2535
'su'tan	肃贪	012324.344528	51123234.34452534
'su'du	肃毒	012324.7106	51123234.112155414
