'di'yi	第一	375723.1	31431451523.1
'di'er	第二	375723.11	31431451523.11
'di'san	第三	375723.111	31431451523.111
'di'si	第四	375723.84	31431451523.25351
'di'wu	第五	375723.1251	31431451523.1251
'di'liu	第六	375723.66	31431451523.4134
'di'qi	第七	375723.15	31431451523.15
'di'ba	第八	375723.34	31431451523.34
'di'jiu	第九	375723.35	31431451523.35
'di'shi	第十	375723.12	31431451523.12
'di'shi'yi	第十一	375723.12.1	31431451523.12.1
'di'shi'er	第十二	375723.12.11	31431451523.12.11
'di'shi'san	第十三	375723.12.111	31431451523.12.111
'di'shi'si	第十四	375723.12.84	31431451523.12.25351
'di'shi'wu	第十五	375723.12.1251	31431451523.12.1251
'di'shi'liu	第十六	375723.12.66	31431451523.12.4134
'di'shi'qi	第十七	375723.12.15	31431451523.12.15
'di'shi'ba	第十八	375723.12.34	31431451523.12.34
'di'shi'jiu	第十九	375723.12.35	31431451523.12.35
'di'er'shi	第二十	375723.11.12	31431451523.11.12
'shi'yi	十一	12.1	12.1
'shi'er	十二	12.11	12.11
'shi'san	十三	12.111	12.111
'shi'si	十四	12.84	12.25351
'shi'wu	十五	12.1251	12.1251
'shi'liu	十六	12.66	12.4134
'shi'qi	十七	12.15	12.15
'shi'ba	十八	12.34	12.34
'shi'jiu	十九	12.35	12.35
'er'shi	二十	11.12	11.12
'er'shi'yi	二十一	11.12.1	11.12.1
'er'shi'er	二十二	11.12.11	11.12.11
'er'shi'san	二十三	11.12.111	11.12.111
'er'shi'si	二十四	11.12.84	11.12.25351
'er'shi'wu	二十五	11.12.1251	11.12.1251
'er'shi'liu	二十六	11.12.66	11.12.4134
'er'shi'qi	二十七	11.12.15	11.12.15
'er'shi'ba	二十八	11.12.34	11.12.34
'er'shi'jiu	二十九	11.12.35	11.12.35
'san'shi	三十	111.12	111.12
'san'shi'yi	三十一	111.12.1	111.12.1
'san'shi'er	三十二	111.12.11	111.12.11
'san'shi'san	三十三	111.12.111	111.12.111
'san'shi'si	三十四	111.12.84	111.12.25351
'san'shi'wu	三十五	111.12.1251	111.12.1251
'san'shi'liu	三十六	111.12.66	111.12.4134
'san'shi'qi	三十七	111.12.15	111.12.15
'san'shi'ba	三十八	111.12.34	111.12.34
'san'shi'jiu	三十九	111.12.35	111.12.35
'si'shi	四十	84.12	25351.12
'si'shi'yi	四十一	84.12.1	25351.12.1
'si'shi'er	四十二	84.12.11	25351.12.11
'si'shi'san	四十三	84.12.111	25351.12.111
'si'shi'si	四十四	84.12.84	25351.12.25351
'si'shi'wu	四十五	84.12.1251	25351.12.1251
'si'shi'liu	四十六	84.12.66	25351.12.4134
'si'shi'qi	四十七	84.12.15	25351.12.15
'si'shi'ba	四十八	84.12.34	25351.12.34
'si'shi'jiu	四十九	84.12.35	25351.12.35
'wu'shi	五十	1251.12	1251.12
'wu'shi'yi	五十一	1251.12.1	1251.12.1
'wu'shi'er	五十二	1251.12.11	1251.12.11
'wu'shi'san	五十三	1251.12.111	1251.12.111
'wu'shi'si	五十四	1251.12.84	1251.12.25351
'wu'shi'wu	五十五	1251.12.1251	1251.12.1251
'wu'shi'liu	五十六	1251.12.66	1251.12.4134
'wu'shi'qi	五十七	1251.12.15	1251.12.15
'wu'shi'ba	五十八	1251.12.34	1251.12.34
'wu'shi'jiu	五十九	1251.12.35	1251.12.35
'liu'shi	六十	66.12	4134.12
'liu'shi'yi	六十一	66.12.1	4134.12.1
'liu'shi'er	六十二	66.12.11	4134.12.11
'liu'shi'san	六十三	66.12.111	4134.12.111
'liu'shi'si	六十四	66.12.84	4134.12.25351
'liu'shi'wu	六十五	66.12.1251	4134.12.1251
'liu'shi'liu	六十六	66.12.66	4134.12.4134
'liu'shi'qi	六十七	66.12.15	4134.12.15
'liu'shi'ba	六十八	66.12.34	4134.12.34
'liu'shi'jiu	六十九	66.12.35	4134.12.35
'qi'shi	七十	15.12	15.12
'qi'shi'yi	七十一	15.12.1	15.12.1
'qi'shi'er	七十二	15.12.11	15.12.11
'qi'shi'san	七十三	15.12.111	15.12.111
'qi'shi'si	七十四	15.12.84	15.12.25351
'qi'shi'wu	七十五	15.12.1251	15.12.1251
'qi'shi'liu	七十六	15.12.66	15.12.4134
'qi'shi'qi	七十七	15.12.15	15.12.15
