'jian'qiao'bei	建桥杯	011124.129632.121324	51111254.1234313432.12341324
'xun'jie	寻劫	01124.195453	511124.1215453
'yin'zai'rong	尹在荣	013.13219.174512	5113.132121.122451234
'yin'qi'xuan	尹奇铉	013.134182.914156	5113.13412512.3111541554
'yin'sheng'xuan	尹盛铉	013.135534.914156	5113.13553425221.3111541554
'yin'xiao	尹霄	013.162421	5113.145244442432511
'yin'he	尹赫	013.193234	5113.12132341213234
'yin'jun'xiang	尹峻相	013.205430.1282	5113.2525434354.123425111
'yin'shan'ai	尹善爱	013.431240.394514	5113.431112431251.3443451354
'yin'yong'min	尹泳珉	013.444554.115155	5113.44145534.112151515
'yin'kuo	尹廓	013.474182	5113.4134125152152
'yin'can'xi	尹灿熙	013.6920.725159	5113.4334252.12251255154444
'yin'xuan'xi	尹炫皙	013.694156.123311	5113.433441554.1234331232511
'yin'ying'shan	尹暎善	013.811724.431240	5113.251112225134.431112431251
'yin'hang	尹航	013.934135	5113.3354144135
'qun'chen'hei'bai'jing'shu'ying	群臣黑白竞输赢	013802.72.86.381.618035.773412.413624	5113251431112.125125.254312114444.32511.4143125135.1521341251122.41525135112534354
'ling'shu	灵枢	0169.121345	5114334.12341345
'ling'jing	灵静	0169.712512	5114334.11212511355112
'chu'ju	出局	02.07580	52252.5135251
'chu'ju'qian	出局前	02.07580.431252	52252.5135251.431251122
'chu'qi	出棋	02.1270	52252.123412211134
'chu'wang	出网	02.253434	52252.253434
'chu'pian	出偏	02.324077	52252.32451325122
'chu'ru'ji'suan'fa	出入计算法	02.34.4012.378212.441954	52252.34.4512.31431425111132.44112154
'chu'shao	出勺	02.354	52252.354
'chu'tou	出头	02.44134	52252.44134
'chu'tai	出台	02.5480	52252.54251
'chu'zhan'tong'dao	出站通道	02.612180.542514.431384	52252.4143121251.5425112454.431325111454
'chu'shen'fa	出神法	02.6283.441954	52252.452425112.44112154
'chu'mu	出目	02.82	52252.25111
'chu'jie	出界	02.833432	52252.251213432
'tui'bu'da'hu'shi	退步打虎式	03454.21233.1012.8735.112154	511534454.2121233.12112.21531535.112154
