'jian'zao	建造	011124.319804	51111254.3121251454
'jian'zao'qun'xi'xing'cheng	建造群系形成	011124.319804.013802.356234.113233.135534	51111254.3121251454.5113251431112.3554234.1132333.135534
'jian'zao'ceng'xu	建造层序	011124.319804.071154.4754	51111254.3121251454.5131154.4135452
'jian'zao'nei'li'yan	建造内砾岩	011124.319804.2534.143524.2014	51111254.3121251454.2534.1325135234.25213251
'jian'de'qun	建德群	011124.331285.013802	51111254.332122522114544.5113251431112
'jian'zhu'cai'liao	建筑材料	011124.371214.12123.684412	51111254.314314121354.1234123.4312344412
'jian'she'di'li'xue	建设地理学	011124.403554.19525.118121.6458	51111254.453554.121525.11212511211.44345521
'jian'she'xing'ban'kuai'bian'jie	建设性板块边界	011124.403554.49371.123354.195134.53454.833432	51111254.453554.44231121.12343354.1215134.53454.251213432
'jian'li	建立	011124.61	51111254.41431
'xun'yang	寻阳	01124.5281	511124.522511
'bo'li	剥理	012412.118121	5112413422.11212511211
'bo'lu'zhun'ping'yuan	剥露准平原	012412.162990.413241.14312.133814	5112413422.145244442512121354251.4132411121.14312.1332511234
'bo'tu'tan'kuang	剥土探矿	012412.19.104532.1447	5112413422.121.12145341234.13251413
'bo'shi	剥蚀	012412.3026	5112413422.355251214
'bo'shi'mian	剥蚀面	012412.3026.132521	5112413422.355251214.132522111
'bo'shi'ping'yuan	剥蚀平原	012412.3026.14312.133814	5112413422.355251214.14312.1332511234
'bo'shi'jiao'li'yan	剥蚀角砾岩	012412.3026.35.143524.2014	5112413422.355251214.3535112.1325135234.25213251
'bo'li'zhuo	剥离酌	012412.413454.75354	5112413422.4134522554.1253511354
'qun'zhuang	群桩	013802.124719	5113251431112.1234413121
'qun'ke	群克	013802.128035	5113251431112.1225135
'qun'jiao	群礁	013802.143249	5113251431112.13251324111214444
'qun'luo	群落	013802.174490	5113251431112.122441354251
'qun'luo'sheng'tai'xue	群落生态学	013802.174490.371.134465.6458	5113251431112.122441354251.31121.13444544.44345521
'qun'luo'sheng'jing	群落生境	013802.174490.371.196185	5113251431112.122441354251.31121.12141431251135
'qun'luo'sheng'huo	群落生活	013802.174490.371.4496	5113251431112.122441354251.31121.441312251
'qun'su'du	群速度	013802.180234.471854	5113251431112.1251234454.413122154
'qun'ti	群体	013802.32121	5113251431112.3212341
'qun'ti'sheng'tai'xue	群体生态学	013802.32121.371.134465.6458	5113251431112.3212341.31121.13444544.44345521
'qun'cong	群丛	013802.34341	5113251431112.34341
'qun'sheng'zhi'wu	群生植物	013802.371.121227.313533	5113251431112.31121.123412251111.31213533
'qun'kong'chou'shui	群孔抽水	013802.585.1083.2534	5113251431112.5215.12125121.2534
'qun'fa'xing'di'zhen	群发性地震	013802.53544.49371.19525.161314	5113251431112.53544.44231121.121525.145244441311534
'qun'qing	群青	013802.712511	5113251431112.11212511
'qun'ju	群聚	013802.725434	5113251431112.12211154323334
'qun'chuan	群串	013802.80802	5113251431112.2512512
'qun'dao	群岛	013802.9920	5113251431112.3545252
'qun'dao'yan'bian'man'po'hai'di	群岛沿边漫坡海底	013802.9920.443580.53454.448184.195324.443106.473514	5113251431112.3545252.44135251.53454.44125112522154.12153254.4413155414.41335154
'zhou'zhuang'gou'zao	帚状构造	014525.412134.123554.319804	51145252.4121344.12343554.3121251454
'zhou'zhuang'kuang'mai	帚状矿脉	014525.412134.1447.364554	51145252.4121344.13251413.351145534
'zhou'zhuang'jie'li	帚状节理	014525.412134.1752.118121	51145252.4121344.12252.11212511211
'ling'min'du	灵敏度	0169.310690.471854	5114334.31554143134.413122154
'ling'sheng'di'zhi'xue	灵生地质学	0169.371.19525.331228.6458	5114334.31121.121525.33122534.44345521
'ling'sheng'dai	灵生代	0169.371.32154	5114334.31121.32154
'chu'shui'dong	出水洞	02.2534.442510	52252.2534.441251251
'chu'shui'liang	出水量	02.2534.811811	52252.2534.251112511211
'chu'ling	出凌	02.411930	52252.4112134354
'chu'chai	出差	02.43121	52252.431113121
'chu'rong	出溶	02.444693	52252.4414453434251
'chu'rong'zhuo	出溶酌	02.444693.75354	52252.4414453434251.1253511354
'chu'shi'jie	出视界	02.622535.833432	52252.45242535.251213432
'chu'kou'ji'di'li'lun	出口基地理论	02.80.7019.19525.118121.403435	52252.251.12211134121.121525.11212511211.453435
'chu'she'jiao	出射角	02.95124.35	52252.3251113124.3535112
'ken'zhi'zhi'shu	垦殖指数	0319.131227.103581.685990	511534121.135412251111.121352511.4312345313134
'tui'shui	退水	03454.2534	511534454.2534
'tui'shui'qu'xian	退水曲线	03454.2534.25171.551154	511534454.2534.251221.55111534
'tui'fu	退复	03454.318190	511534454.312511354
'tui'hua	退化	03454.3235	511534454.3235
'tui'hua'pu	退化瀑	03454.3235.448114	511534454.3235.441251112213424134
'tui'hua'bian'zhi'zuo'yong	退化变质作用	03454.3235.6654.331228.323121.35112	511534454.3235.41223454.33122534.3231211.35112
'tui'hua'bian'zhi'zhuo	退化变质酌	03454.3235.6654.331228.75354	511534454.3235.41223454.33122534.1253511354
