'jian'mo	建模	011124.121784	51111254.12341222511134
'jian'li'shi'jian	建立时间	011124.61.81124.4281	51111254.41431.2511124.4252511
'xun'zhao'zi'jie'ji	寻找字节集	01124.101534.4658.1752.324172	511124.1211534.445521.12252.324111211234
'xun'zhao'wen'ben	寻找文本	01124.101534.66.121	511124.1211534.4134.12341
'xun'zhao'wen'jian	寻找文件	01124.101534.66.3231	511124.1211534.4134.323112
'xun'zhi	寻址	01124.1921	511124.1212121
'xun'zhi'fang'shi	寻址方式	01124.1921.60.112154	511124.1212121.4153.112154
'xun'feng	寻峰	01124.209071	511124.2523541112
'xun'jing'han'shu	寻径函数	01124.335411.524132.685990	511124.33254121.52413452.4312345313134
'xun'xiang'guan	寻象管	01124.358034.374621	511124.35251353334.31431444525151
'xun'xiang'qi	寻象器	01124.358034.808010	511124.35251353334.2512511344251251
'xun'dao	寻道	01124.431384	511124.431325111454
'xun'dao'shi'jian	寻道时间	01124.431384.81124.4281	511124.431325111454.2511124.4252511
'bo'luo	剥落	012412.174490	5112413422.122441354251
'bo'shi	剥蚀	012412.3026	5112413422.355251214
'bo'pu	剥谱	012412.404311	5112413422.45431224312511
'bo'li'ji'shu	剥离技术	012412.413454.101254.124	5112413422.4134522554.1211254.12344
'li'shu'du	隶属度	012414.073804.471854	51124134.513325125214.413122154
'lu'zhi	录制	012414.311252	51124134.31125222
'lu'chang'ling	逯长岭	012414.3154.203444	51124134454.3154.25234454
'lu'xiang'dai	录像带	012414.358034.122245	51124134.35251353334.122245252
'lu'xiang'ji	录像机	012414.358034.1235	51124134.35251353334.123435
'lu'xiang'tou	录像头	012414.358034.44134	51124134.35251353334.44134
'lu'ru'zhi	录汝志	012414.4459.1965	51124134.441531.1214544
'lu'yin'ji	录音机	012414.6181.1235	51124134.414312511.123435
'lu'qu'xian'shi'qi	录取显示器	012414.7254.8122.11234.808010	51124134.12211154.251122431.11234.2512511344251251
'yin'bao'lin	尹宝林	013.46114.1212	5113.44511214.12341234
'qun'zhan'shi	群展示	013802.071854.11234	5113251431112.5131221534.11234
'qun'kong	群控	013802.104631	5113251431112.12144534121
'qun'xiang'ce	群相册	013802.1282.35351	5113251431112.123425111.35351
'qun'you'xiu	群友秀	013802.1354.9253	5113251431112.1354.3123453
'qun'su	群速	013802.180234	5113251431112.1251234454
'qun'tong'bu	群同步	013802.25180.21233	5113251431112.251251.2121233
'qun'nei'lun'tan	群内论坛	013802.2534.403435.191154	5113251431112.2534.453435.1211154
'qun'nei'ni'cheng	群内昵称	013802.2534.810735.923524	5113251431112.2534.251151335.3123435234
'qun'lu'xin'ling	群路信令	013802.299080.3240.34454	5113251431112.2512121354251.324111251.34454
'qun'ti'zhi'neng	群体智能	013802.32121.948081.542515	5113251431112.3212341.311342512511.5425113535
'qun'ji	群集	013802.324172	5113251431112.324111211234
'qun'ji'fen'xi	群集分析	013802.324172.3453.123312	5113251431112.324111211234.3453.12343312
'qun'hui'hua	群会话	013802.341154.4096	5113251431112.341154.45312251
'qun'xiao'xi	群消息	013802.442421.38265	5113251431112.4412432511.3251114544
'qun'fa'wen'jian	群发文件	013802.53544.66.3231	5113251431112.53544.4134.323112
'qun'neng'li	群能力	013802.542515.53	5113251431112.5425113535.53
'qun'zu'pin'dao	群组频道	013802.5527.212338.431384	5113251431112.55125111.2121233132534.431325111454
'qun'ju'kong'jian	群聚空间	013802.725434.463411.4281	5113251431112.12211154323334.44534121.4252511
'qun'shi'yan	群时延	013802.81124.321554	5113251431112.2511124.321554
'qun'duan'xin	群短信	013802.941801.3240	5113251431112.311341251431.324111251
'zhou'zhuang'la'ba'tian'xian	帚状喇叭天线	014525.412134.801802.8034.1134.551154	51145252.4121344.251125123422.25134.1134.55111534
