君士坦丁堡	01380.19.19811.12.328019
君子长生馆	01380.58.3154.371.304
君子长生馆	01380.58.3154.371.304621
郡王府	013805.11.4732
郡王府	013805.11.473214
灵武恐龙博物馆	016.1121.12135.13534.121254.313.304
灵武恐龙博物馆	0169.112154.121355.13534.121254.313533.304621
灵武长流水	016.1121.3154.444.253
灵武长流水	0169.112154.3154.444155.2534
灵栖洞天	016.1274.4425.1134
灵栖洞天	0169.1274.442510.1134
灵霄硐	016.1624.142510
灵霄硐	0169.162411.142510
灵山大佛	016.20.134.3257
灵山大佛	0169.20.134.325732
灵山圣墓	016.20.5419.178119
灵山圣墓	0169.20.5419.178119
灵山幻境	016.20.565.196
灵山幻境	0169.20.565.196185
灵崖寺	016.20131.19124
灵崖寺	0169.201319.19124
灵峰	016.209
灵峰	0169.209071
灵峰探梅	016.209.10451.1231
灵峰探梅	0169.209071.104512.123106
灵源寺	016.44133.19124
灵源寺	0169.441334.19124
灵空山	016.4612.20
灵空山	0169.46121.20
灵应寺	016.476.19124
灵应寺	0169.4764.19124
灵应宫	016.476.4680
灵应宫	0169.4764.468080
灵悦寺	016.4943.19124
灵悦寺	0169.494385.19124
灵隐寺	016.52350.19124
灵隐寺	0169.523505.19124
灵隐飞来峰	016.52350.534.168.209
灵隐飞来峰	0169.523505.534.168.209071
灵隐景区	016.52350.814.1345
灵隐景区	0169.523505.814124.1345
灵谷寺	016.94.19124
灵谷寺	0169.94.19124
灵谷塔	016.94.1917
灵谷塔	0169.94.191794
艮山门	03.20.42
退翁亭	034.34540.4112
退翁亭	03454.345404.4112
翠屏湖	044.0743.44128
翠屏湖	044132.074378.441286
翠岩禅寺	044.2014.6243.19124
翠岩禅寺	044132.2014.624382.19124
翼伦堂	048.32343.2419
翼伦堂	048314.323435.2419
巢湖	058.44128
巢湖	058112.441286
辟利洛	07.922.4490
辟利洛	07.9222.449080
屈斗宫	070.4412.4680
屈斗宫	0702.4412.468080
熨斗泉	071129.4412.3812
熨斗泉	071129.4412.381254
居庸关云台	0712.47012.4334.1154.548
居庸关云台	071280.470122.4334.1154.5480
尼亚胡鲁鲁	0735.122.128036.9581.9581
尼亚美	0735.122.431
尼亚美	0735.122.431114
尼亚加拉大瀑布	0735.122.538.1061.134.448114.1325
尼亚加拉大瀑布	0735.122.5380.1061.134.448114.1325
尼亚加拉瀑布	0735.122.538.1061.448114.1325
尼亚加拉瀑布	0735.122.5380.1061.448114.1325
尼亚加塔雷	0735.122.538.1917.1683
尼亚加塔雷	0735.122.5380.191794.1683
尼萨	0735.17526
尼萨	0735.175263
尼坦亚	0735.19811.122
尼什	0735.3212
尼泊尔	0735.44381.3523
尼泊尔	0735.44381.35234
尼泊尔根杰	0735.44381.3523.120.1269
尼泊尔根杰	0735.44381.35234.1203.1269
尼加拉瓜	0735.538.1061.33544
尼加拉瓜	0735.5380.1061.33544
尼加拉瓜湖	0735.538.1061.33544.44128
尼加拉瓜湖	0735.5380.1061.33544.441286
尼雅遗址	0735.793.80212.1921
尼雅遗址	0735.793241.802124.1921
尼日尼亚	0735.81.0735.122
尼日尔	0735.81.3523
尼日尔	0735.81.35234
尼日瓦	0735.81.79
尼日利亚	0735.81.922.122
尼日利亚	0735.81.9222.122
尼罗河	0735.849.441
尼罗河	0735.8490.441802
尼科西亚	0735.924.74.122
尼科西亚	0735.924412.74.122
避暑山庄	0745.8119.20.4719
避暑山庄	07454.811931.20.4719
避暑泉	0745.8119.3812
避暑泉	07454.811931.381254
一面坡国家森林公园	1.13252.19532.2.46.121212.1212.3454.251
一面坡国家森林公园	1.132521.195324.251141.4613.121212.1212.3454.251131
一线天	1.5511.1134
一线天	1.551154.1134
扫叶楼	1001.8012.126
扫叶楼	1001.8012.126859
拙政园	1002.1219.251
拙政园	1002.12190.251131
捷克	1010.12803
捷克	101014.128035
捷克逊维尔	1010.12803.5823.5532.3523
捷克逊维尔	101014.128035.582344.553241.35234
撒马尔罕文化汇集地	10182.50.3523.45112.66.3235.4415.3247.195
撒马尔罕文化汇集地	101820.50.35234.45112.66.3235.4415.324712.19525
撒哈拉大沙漠	10182.809.1061.134.442.44178
撒哈拉大沙漠	101820.8094.1061.134.442343.441784
措迪洛山岩画	1018.8345.4490.20.2014.183
措迪洛山岩画	101881.83454.449080.20.2014.18352
挂月峰	1019.36.209
挂月峰	101919.36.209071
挂甲山石刻	1019.83.20.14.41533
挂甲山石刻	101919.83.20.14.415332
托林寺	10315.1212.19124
托克劳新西兰	10315.12803.17455.611.74.43
托克劳新西兰	10315.128035.174553.611233.74.43
托莱多古城	10315.17168.909.1280.1913
托莱多古城	10315.17168.9090.1280.191354
托伦	10315.32343
托伦	10315.323435
托尔斯港	10315.3523.7033.44183
托尔斯港	10315.35234.7033.441835
托马	10315.50
托马尔基督教女修道院	10315.50.3523.701.875.1935.59.322.4338.524
托马尔基督教女修道院	10315.50.35234.7019.875482.193580.59.322903.433824.524615
托弗尔市	10315.5732.3523.4125
托弗尔市	10315.5732.35234.4125
哲蚌寺	103380.2671.19124
热带两院植物园	103.174.1253.524.12122.313.251
热带两院植物园	103549.174525.125344.524615.121227.313533.251131
热带飞禽世界	103.174.534.3441.185.833
热带飞禽世界	103549.174525.534.344134.185.833432
热内亚	103.2534.122
热内亚	103549.2534.122
热那亚	103.51.122
热那亚	103549.5152.122
抱朴道院	103555.1224.4338.524
抱朴道院	103555.1224.433824.524615
护珠塔	1067.1131.1917
护珠塔	1067.113112.191794
抗美援朝烈士陵园	1041.431.10391.128.13226.19.5219.251
抗美援朝烈士陵园	104135.431114.103914.128116.132269.19.521930.251131
探海石	10451.4431.14
探海石	104512.443106.14
扎布热	105.1325.103
扎布热	105.1325.103549
扎达尔	105.13445.3523
扎达尔	105.134454.35234
扎龙自然保护区	105.13534.382.9013.3280.1067.1345
扎龙自然保护区	105.13534.382.901349.328012.1067.1345
扎勒乌	105.1853.3551
扎赫勒	105.193234.1853
扎伊尔	105.32013.3523
扎伊尔	105.32013.35234
扎什伦布寺	105.3212.32343.1325.19124
扎什伦布寺	105.3212.323435.1325.19124
扎尔卡	105.3523.2124
扎尔卡	105.35234.2124
扎兰屯	105.43.1525
扎库马国家公园	105.477.50.2.46.3454.251
